id,genus,name_german,name_original,treetop_diam,tree_height,year_of_planting,license,credits
"3175201",Tilia,Winter-Linde,Tilia cordata,"3","7","1998",Deutschland Namensnennung 2.0,Land Berlin
"3175214",Elaeagnus,,Picea pungens 'Glauca',"5","7","1991",Deutschland Namensnennung 2.0,Land Berlin
"3175218",Acer,Spitz-Ahorn,Acer platanoides,"7","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3175465",Populus,Simons Pappel,Populus simonii,"11","17","1982",Deutschland Namensnennung 2.0,Land Berlin
"3175700",Acer,Spitz-Ahorn,Acer platanoides,"5","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3175725",Populus,Grau-Pappel,Populus canescens,"5","7","1998",Deutschland Namensnennung 2.0,Land Berlin
"3175727",Crataegus,,Crataegus laevigata 'Paul´s Scarlet',"5","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3175956",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"4","3","1996",Deutschland Namensnennung 2.0,Land Berlin
"3175964",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"7","7","1930",Deutschland Namensnennung 2.0,Land Berlin
"3175969",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"2","7","2000",Deutschland Namensnennung 2.0,Land Berlin
"3176017",Tilia,Winter-Linde,Tilia cordata,"7","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3176036",Acer,Spitz-Ahorn,Acer platanoides,"12","17","1950",Deutschland Namensnennung 2.0,Land Berlin
"3176050",Tilia,Winter-Linde,Tilia cordata,"5","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"3176238",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"4","7","2000",Deutschland Namensnennung 2.0,Land Berlin
"3176244",Acer,Silber-Ahorn,Acer saccharinum,"12","17","1980",Deutschland Namensnennung 2.0,Land Berlin
"3176254",Tilia,Winter-Linde,Tilia cordata,"7","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3176255",Acer,Spitz-Ahorn,Acer platanoides,"13","12","1982",Deutschland Namensnennung 2.0,Land Berlin
"3176261",Tilia,Winter-Linde,Tilia cordata,"6","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3176267",Tilia,Krim-Linde,Tilia euchlora,"5","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3176270",Tilia,Sommer-Linde,Tilia platyphyllos,"13","17","1930",Deutschland Namensnennung 2.0,Land Berlin
"3176277",Acer,Spitz-Ahorn,Acer platanoides,"14","25","1930",Deutschland Namensnennung 2.0,Land Berlin
"3176279",Acer,Spitz-Ahorn,Acer platanoides,"16","25","1930",Deutschland Namensnennung 2.0,Land Berlin
"3176292",Tilia,Winter-Linde,Tilia cordata,"6","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3176297",Tilia,Winter-Linde,Tilia cordata,"4","3","1990",Deutschland Namensnennung 2.0,Land Berlin
"3176301",Tilia,Winter-Linde,Tilia cordata,"7","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3176470",Acer,Berg-Ahorn,Acer pseudoplatanus,"4","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3176473",Acer,Eschen-Ahorn,Acer negundo,"8","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3176474",Acer,Eschen-Ahorn,Acer negundo,"12","12","1982",Deutschland Namensnennung 2.0,Land Berlin
"3176477",Tilia,Winter-Linde,Tilia cordata,"5","3","1980",Deutschland Namensnennung 2.0,Land Berlin
"3176483",Tilia,Krim-Linde,Tilia euchlora,"7","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"3176487",Tilia,,Tilia americana,"6","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3176491",Acer,Berg-Ahorn,Acer pseudoplatanus,"7","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3176496",Tilia,Silber-Linde,Tilia tomentosa,"5","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3176703",Acer,Spitz-Ahorn,Acer platanoides,"3","7","1994",Deutschland Namensnennung 2.0,Land Berlin
"3176706",Quercus,,Platanus acerifolia,"8","7","1993",Deutschland Namensnennung 2.0,Land Berlin
"3176720",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"3","7","1999",Deutschland Namensnennung 2.0,Land Berlin
"3176724",Populus,Berliner Pappel,Populus berolinensis,"11","17","1980",Deutschland Namensnennung 2.0,Land Berlin
"3176734",Tilia,Silber-Linde,Tilia tomentosa,"4","3","1980",Deutschland Namensnennung 2.0,Land Berlin
"3176742",Quercus,Rot-Eiche,Quercus rubra,"5","7","1999",Deutschland Namensnennung 2.0,Land Berlin
"3176746",Acer,Spitz-Ahorn,Acer platanoides,"3","7","2000",Deutschland Namensnennung 2.0,Land Berlin
"3176748",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"2","7","2000",Deutschland Namensnennung 2.0,Land Berlin
"3176902",Tilia,Krim-Linde,Tilia euchlora,"11","17","1930",Deutschland Namensnennung 2.0,Land Berlin
"3176936",Betula,,Betula pendula,"6","7","1995",Deutschland Namensnennung 2.0,Land Berlin
"3176939",Acer,Spitz-Ahorn,Acer platanoides,"5","7","1994",Deutschland Namensnennung 2.0,Land Berlin
"3176940",Acer,Spitz-Ahorn,Acer platanoides,"5","3","1994",Deutschland Namensnennung 2.0,Land Berlin
"3176949",Acer,Spitz-Ahorn,Acer platanoides,"8","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3176959",Tilia,Winter-Linde,Tilia cordata,"6","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"3176960",Acer,Berg-Ahorn,Acer pseudoplatanus,"7","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"3176968",Acer,Eschen-Ahorn,Acer negundo,"15","17","1982",Deutschland Namensnennung 2.0,Land Berlin
"3176978",Acer,Spitz-Ahorn,Acer platanoides,"4","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3176980",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"4","3","1992",Deutschland Namensnennung 2.0,Land Berlin
"3176985",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"3","7","1999",Deutschland Namensnennung 2.0,Land Berlin
"3176989",Acer,Spitz-Ahorn,Acer platanoides,"9","7","1981",Deutschland Namensnennung 2.0,Land Berlin
"3176994",Acer,Berg-Ahorn,Acer pseudoplatanus,"7","7","1981",Deutschland Namensnennung 2.0,Land Berlin
"3177026",Acer,Spitz-Ahorn,Acer platanoides,"6","7","1981",Deutschland Namensnennung 2.0,Land Berlin
"3177043",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"6","7","1990",Deutschland Namensnennung 2.0,Land Berlin
"3177066",Acer,Eschen-Ahorn,Acer negundo,"13","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3177078",Acer,Berg-Ahorn,Acer pseudoplatanus,"4","3","1980",Deutschland Namensnennung 2.0,Land Berlin
"3177085",Juglans,Walnuss,Juglans regia,"4","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3177092",Tilia,Winter-Linde,Tilia cordata,"5","7","1988",Deutschland Namensnennung 2.0,Land Berlin
"3177099",Populus,Silber-Pappel 'Nivea',Populus alba 'Nivea',"14","12","1980",Deutschland Namensnennung 2.0,Land Berlin
"3177109",Acer,Spitz-Ahorn,Acer platanoides,"9","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3177111",Acer,Eschen-Ahorn,Acer negundo,"15","12","1980",Deutschland Namensnennung 2.0,Land Berlin
"3177133",Acer,Spitz-Ahorn,Acer platanoides,"8","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3177134",Tilia,Winter-Linde,Tilia cordata,"6","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3177137",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"7","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3177153",Acer,Feld-Ahorn,Acer campestre,"2","7","1995",Deutschland Namensnennung 2.0,Land Berlin
"3177162",Acer,Feld-Ahorn,Acer campestre,"4","7","1995",Deutschland Namensnennung 2.0,Land Berlin
"3177164",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"6","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3177202",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"2","7","1999",Deutschland Namensnennung 2.0,Land Berlin
"3177217",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"2","3","1996",Deutschland Namensnennung 2.0,Land Berlin
"3177288",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"3","7","1999",Deutschland Namensnennung 2.0,Land Berlin
"3177304",Acer,Berg-Ahorn,Acer pseudoplatanus,"4","7","1995",Deutschland Namensnennung 2.0,Land Berlin
"3177315",Acer,Berg-Ahorn,Acer pseudoplatanus,"4","3","1995",Deutschland Namensnennung 2.0,Land Berlin
"3177318",Sorbus,Vogelbeere,Sorbus aucuparia,"4","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3177324",Tilia,Sommer-Linde,Tilia platyphyllos,"4","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3177330",Tilia,Krim-Linde,Tilia euchlora,"9","12","1967",Deutschland Namensnennung 2.0,Land Berlin
"3177352",Sorbus,Vogelbeere,Sorbus aucuparia,"7","12","1982",Deutschland Namensnennung 2.0,Land Berlin
"3177372",Quercus,,Platanus acerifolia,"5","7","1990",Deutschland Namensnennung 2.0,Land Berlin
"3177467",Acer,Spitz-Ahorn,Acer platanoides,"3","7","1994",Deutschland Namensnennung 2.0,Land Berlin
"3177504",Tilia,Sommer-Linde,Tilia platyphyllos,"2","7","2000",Deutschland Namensnennung 2.0,Land Berlin
"3177515",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"4","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3177530",Tilia,Winter-Linde,Tilia cordata,"5","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3177532",Sorbus,Vogelbeere,Sorbus aucuparia,"4","3","1985",Deutschland Namensnennung 2.0,Land Berlin
"3177536",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"4","3","1995",Deutschland Namensnennung 2.0,Land Berlin
"3177554",Tilia,Winter-Linde,Tilia cordata,"9","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3177555",Acer,Spitz-Ahorn,Acer platanoides,"14","12","1930",Deutschland Namensnennung 2.0,Land Berlin
"3177556",Acer,Spitz-Ahorn,Acer platanoides,"6","7","1994",Deutschland Namensnennung 2.0,Land Berlin
"3177558",Acer,Spitz-Ahorn,Acer platanoides,"18","17","1930",Deutschland Namensnennung 2.0,Land Berlin
"3177582",Quercus,Stiel-Eiche,Quercus robur,"12","17","1930",Deutschland Namensnennung 2.0,Land Berlin
"3177583",Quercus,Stiel-Eiche,Quercus robur,"22","27","1930",Deutschland Namensnennung 2.0,Land Berlin
"3177584",Rhus,Essigbaum,Rhus typhina,"5","7","1990",Deutschland Namensnennung 2.0,Land Berlin
"3177585",Robinia,Gewöhnliche Scheinakazie 'Sandraudiga',Robinia pseudoacacia 'Sandraudiga',"20","12","1970",Deutschland Namensnennung 2.0,Land Berlin
"3177589",Betula,,Betula pendula,"11","17","1970",Deutschland Namensnennung 2.0,Land Berlin
"3177594",Quercus,Stiel-Eiche,Quercus robur,"14","17","1930",Deutschland Namensnennung 2.0,Land Berlin
"3177606",Acer,Spitz-Ahorn,Acer platanoides,"10","7","1970",Deutschland Namensnennung 2.0,Land Berlin
"3177607",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"4","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3177609",Acer,Spitz-Ahorn,Acer platanoides,"3","7","1998",Deutschland Namensnennung 2.0,Land Berlin
"3177619",Rhus,Essigbaum,Rhus typhina,"5","3","1995",Deutschland Namensnennung 2.0,Land Berlin
"3177622",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"4","7","1999",Deutschland Namensnennung 2.0,Land Berlin
"3177623",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"4","3","1999",Deutschland Namensnennung 2.0,Land Berlin
"3177627",Acer,Berg-Ahorn,Acer pseudoplatanus,"10","12","1970",Deutschland Namensnennung 2.0,Land Berlin
"3177631",Betula,,Betula pendula,"6","12","1980",Deutschland Namensnennung 2.0,Land Berlin
"3177632",Betula,,Betula pendula,"8","17","1975",Deutschland Namensnennung 2.0,Land Berlin
"3177651",Quercus,,Picea pungens,"4","3","1995",Deutschland Namensnennung 2.0,Land Berlin
"3177655",Crataegus,,Crataegus laevigata 'Paul´s Scarlet',"7","7","1950",Deutschland Namensnennung 2.0,Land Berlin
"3177666",Quercus,,Platanus acerifolia,"15","12","1935",Deutschland Namensnennung 2.0,Land Berlin
"3177739",Acer,Spitz-Ahorn 'Schwedleri',Acer platanoides 'Schwedleri',"20","17","1930",Deutschland Namensnennung 2.0,Land Berlin
"3177742",Acer,Spitz-Ahorn 'Schwedleri',Acer platanoides 'Schwedleri',"17","17","1930",Deutschland Namensnennung 2.0,Land Berlin
"3177759",Acer,Spitz-Ahorn,Acer platanoides,"8","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"3177767",Quercus,Stiel-Eiche,Quercus robur,"6","7","1988",Deutschland Namensnennung 2.0,Land Berlin
"3177768",Tilia,,Tilia americana,"9","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"3177770",Tilia,Winter-Linde,Tilia cordata,"5","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3177775",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"4","7","2000",Deutschland Namensnennung 2.0,Land Berlin
"3177797",Fagus,Rot-Buche,Fagus sylvatica,"10","12","1980",Deutschland Namensnennung 2.0,Land Berlin
"3177801",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"7","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3177804",Acer,Spitz-Ahorn,Acer platanoides,"6","7","1994",Deutschland Namensnennung 2.0,Land Berlin
"3177822",Juglans,Walnuss,Juglans regia,"6","7","1990",Deutschland Namensnennung 2.0,Land Berlin
"3177824",Quercus,,Platanus acerifolia,"14","12","1960",Deutschland Namensnennung 2.0,Land Berlin
"3177837",Betula,,Betula pendula,"7","12","1982",Deutschland Namensnennung 2.0,Land Berlin
"3177841",Sorbus,Vogelbeere,Sorbus aucuparia,"8","7","1970",Deutschland Namensnennung 2.0,Land Berlin
"3177847",Quercus,Rot-Eiche,Quercus rubra,"4","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3177855",Quercus,Rot-Eiche,Quercus rubra,"4","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3177864",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"4","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3177872",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"4","7","1999",Deutschland Namensnennung 2.0,Land Berlin
"3177879",Acer,Spitz-Ahorn,Acer platanoides,"9","7","1981",Deutschland Namensnennung 2.0,Land Berlin
"3177886",Tilia,Winter-Linde,Tilia cordata,"5","7","1991",Deutschland Namensnennung 2.0,Land Berlin
"3177897",Tilia,Winter-Linde,Tilia cordata,"7","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3177913",Acer,Spitz-Ahorn,Acer platanoides,"3","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3177927",Tilia,Krim-Linde,Tilia euchlora,"10","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3177985",Prunus,Traubenkirsche,Prunus padus,"3","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"3177986",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,"7","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"3177988",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,"8","12","1982",Deutschland Namensnennung 2.0,Land Berlin
"3177989",Tilia,Winter-Linde,Tilia cordata,"7","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3177991",Tilia,Winter-Linde,Tilia cordata,"5","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3177996",Tilia,Sommer-Linde,Tilia platyphyllos,"4","3","1980",Deutschland Namensnennung 2.0,Land Berlin
"3178018",Sorbus,Vogelbeere,Sorbus aucuparia,"2","7","1997",Deutschland Namensnennung 2.0,Land Berlin
"3178021",,,,,,,Deutschland Namensnennung 2.0,Land Berlin
"3178055",Tilia,Winter-Linde,Tilia cordata,"6","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"3178059",Tilia,Winter-Linde,Tilia cordata,"6","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"3178104",Tilia,Silber-Linde,Tilia tomentosa,"6","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3178107",Carpinus,Gewöhnliche Hainbuche,Carpinus betulus,"5","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3178114",Tilia,Winter-Linde,Tilia cordata,"7","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3178122",Tilia,Sommer-Linde,Tilia platyphyllos,"5","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3178128",Acer,Spitz-Ahorn,Acer platanoides,"4","7","2000",Deutschland Namensnennung 2.0,Land Berlin
"3178133",Tilia,Winter-Linde,Tilia cordata,"7","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3178136",Tilia,Winter-Linde,Tilia cordata,"4","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3178148",Tilia,Winter-Linde,Tilia cordata,"5","7","1990",Deutschland Namensnennung 2.0,Land Berlin
"3178151",Acer,Spitz-Ahorn,Acer platanoides,"7","7","1988",Deutschland Namensnennung 2.0,Land Berlin
"3178154",Acer,Spitz-Ahorn,Acer platanoides,"11","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"3178158",Quercus,,Platanus acerifolia,"7","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3178165",Quercus,,Platanus acerifolia,"6","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3178167",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"3","3","1985",Deutschland Namensnennung 2.0,Land Berlin
"3178178",Acer,Spitz-Ahorn,Acer platanoides,"3","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3178188",Betula,,Betula pendula,"6","7","1990",Deutschland Namensnennung 2.0,Land Berlin
"3178249",Acer,Berg-Ahorn,Acer pseudoplatanus,"8","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"3178253",Acer,Eschen-Ahorn,Acer negundo,"11","12","1982",Deutschland Namensnennung 2.0,Land Berlin
"3178259",Juglans,Walnuss,Juglans regia,"8","7","1990",Deutschland Namensnennung 2.0,Land Berlin
"3178277",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"4","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3178283",Acer,Spitz-Ahorn,Acer platanoides,"6","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3178292",Acer,Spitz-Ahorn,Acer platanoides,"6","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3178293",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"2","3","1996",Deutschland Namensnennung 2.0,Land Berlin
"3178312",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"4","7","2000",Deutschland Namensnennung 2.0,Land Berlin
"3178351",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"6","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3178358",Sorbus,Vogelbeere,Sorbus aucuparia,"4","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3178361",Acer,Spitz-Ahorn,Acer platanoides,"3","7","1998",Deutschland Namensnennung 2.0,Land Berlin
"3178368",Acer,Spitz-Ahorn,Acer platanoides,"4","7","2000",Deutschland Namensnennung 2.0,Land Berlin
"3178380",Sorbus,Vogelbeere,Sorbus aucuparia,"2","3","1982",Deutschland Namensnennung 2.0,Land Berlin
"3178406",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"18","25","1930",Deutschland Namensnennung 2.0,Land Berlin
"3178427",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"3","3","1999",Deutschland Namensnennung 2.0,Land Berlin
"3178438",Tilia,Winter-Linde,Tilia cordata,"2","3","1982",Deutschland Namensnennung 2.0,Land Berlin
"3178451",Sorbus,Vogelbeere,Sorbus aucuparia,"4","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3178537",Acer,Spitz-Ahorn,Acer platanoides,"5","7","1981",Deutschland Namensnennung 2.0,Land Berlin
"3178538",Tilia,Winter-Linde,Tilia cordata,"6","7","1981",Deutschland Namensnennung 2.0,Land Berlin
"3178539",Robinia,Gewöhnliche Scheinakazie 'Umbraculifera',Robinia pseudoacacia 'Umbraculifera',"9","7","1988",Deutschland Namensnennung 2.0,Land Berlin
"3178557",Quercus,,Platanus acerifolia,"5","7","1994",Deutschland Namensnennung 2.0,Land Berlin
"3178564",Tilia,Sommer-Linde,Tilia platyphyllos,"1","3","2000",Deutschland Namensnennung 2.0,Land Berlin
"3178565",Sorbus,Schwedische Mehlbeere,Sorbus intermedia,"1","3","2004",Deutschland Namensnennung 2.0,Land Berlin
"3178570",Acer,Eschen-Ahorn,Acer negundo,"6","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"3178602",Acer,Berg-Ahorn,Acer pseudoplatanus,"4","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3178606",Acer,Berg-Ahorn,Acer pseudoplatanus,"4","3","1995",Deutschland Namensnennung 2.0,Land Berlin
"3178621",Juglans,Walnuss,Juglans regia,"6","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3178626",Quercus,,Platanus acerifolia,"6","7","1993",Deutschland Namensnennung 2.0,Land Berlin
"3178639",Castanea,Ess-Kastanie,Castanea sativa,"3","7","1990",Deutschland Namensnennung 2.0,Land Berlin
"3178642",Prunus,Süß-Kirsche 'Plena',Prunus avium 'Plena',"6","7","1990",Deutschland Namensnennung 2.0,Land Berlin
"3178646",Crataegus,Eingriffeliger Weißdorn,Crataegus monogyna,"6","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3178656",Acer,Spitz-Ahorn,Acer platanoides,"20","17","1930",Deutschland Namensnennung 2.0,Land Berlin
"3178694",Tilia,Krim-Linde,Tilia euchlora,"6","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3178971",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,"7","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3178712",Crataegus,,Crataegus laevigata 'Paul´s Scarlet',"4","3","1995",Deutschland Namensnennung 2.0,Land Berlin
"3178772",Acer,Spitz-Ahorn,Acer platanoides,"8","7","1981",Deutschland Namensnennung 2.0,Land Berlin
"3178774",Populus,Kanada-Pappel 'Robusta',Populus x canadensis 'Robusta',"17","17","1981",Deutschland Namensnennung 2.0,Land Berlin
"3178790",Tilia,Winter-Linde,Tilia cordata,"7","7","1981",Deutschland Namensnennung 2.0,Land Berlin
"3178797",Tilia,Winter-Linde,Tilia cordata,"5","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3178801",Tilia,Krim-Linde,Tilia euchlora,"5","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3178804",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"6","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"3178805",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"7","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"3178822",Acer,Eschen-Ahorn,Acer negundo,"10","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3178828",Tilia,Krim-Linde,Tilia euchlora,"6","7","1981",Deutschland Namensnennung 2.0,Land Berlin
"3178830",Tilia,Winter-Linde,Tilia cordata,"5","7","1981",Deutschland Namensnennung 2.0,Land Berlin
"3178840",Acer,Berg-Ahorn,Acer pseudoplatanus,"5","3","1980",Deutschland Namensnennung 2.0,Land Berlin
"3178847",Quercus,Stiel-Eiche,Quercus robur,"7","7","1993",Deutschland Namensnennung 2.0,Land Berlin
"3178854",Acer,Eschen-Ahorn,Acer negundo,"7","12","1980",Deutschland Namensnennung 2.0,Land Berlin
"3178857",Acer,Eschen-Ahorn,Acer negundo,"8","12","1980",Deutschland Namensnennung 2.0,Land Berlin
"3178860",Acer,Spitz-Ahorn,Acer platanoides,"6","7","1990",Deutschland Namensnennung 2.0,Land Berlin
"3178862",Acer,Spitz-Ahorn,Acer platanoides,"9","7","1986",Deutschland Namensnennung 2.0,Land Berlin
"3178879",Acer,Feld-Ahorn,Acer campestre,"5","7","1990",Deutschland Namensnennung 2.0,Land Berlin
"3178885",Ailanthus,,Ailanthus altissima,"12","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3178887",Acer,Spitz-Ahorn,Acer platanoides,"8","7","1980",Deutschland Namensnennung 2.0,Land Berlin
"3178889",Ailanthus,,Ailanthus altissima,"10","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"3178904",Betula,,Betula pendula,"7","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3178909",Tilia,Winter-Linde,Tilia cordata,"7","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"3178916",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"18","25","1930",Deutschland Namensnennung 2.0,Land Berlin
"3178918",Tilia,Winter-Linde,Tilia cordata,"5","3","1985",Deutschland Namensnennung 2.0,Land Berlin
"3178921",Corylus,Baum-Hasel,Corylus colurna,"5","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"3178925",Acer,Feld-Ahorn,Acer campestre,"4","7","1995",Deutschland Namensnennung 2.0,Land Berlin
"3178937",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"5","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3178940",Acer,Feld-Ahorn,Acer campestre,"2","7","1995",Deutschland Namensnennung 2.0,Land Berlin
"3178943",Acer,Feld-Ahorn,Acer campestre,"3","7","1995",Deutschland Namensnennung 2.0,Land Berlin
"3178945",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"5","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3178950",Quercus,Stiel-Eiche,Quercus robur,"7","12","1994",Deutschland Namensnennung 2.0,Land Berlin
"3178957",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"7","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"3178961",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"6","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3178982",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,"5","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"3178983",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"5","7","2000",Deutschland Namensnennung 2.0,Land Berlin
"3179039",Quercus,Rot-Eiche,Quercus rubra,"22","25","1930",Deutschland Namensnennung 2.0,Land Berlin
"3179040",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,"10","12","1970",Deutschland Namensnennung 2.0,Land Berlin
"3179043",Acer,Spitz-Ahorn,Acer platanoides,"13","25","1950",Deutschland Namensnennung 2.0,Land Berlin
"3179045",Acer,Berg-Ahorn 'Atropurpureum',Acer pseudoplatanus 'Atropurpureum',"11","17","1930",Deutschland Namensnennung 2.0,Land Berlin
"3179047",Acer,Spitz-Ahorn,Acer platanoides,"11","12","1950",Deutschland Namensnennung 2.0,Land Berlin
"3179061",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"15","17","1930",Deutschland Namensnennung 2.0,Land Berlin
